text,inputs,prediction,prediction_agent,annotation,annotation_agent,multi_label,explanation,id,metadata,status,event_timestamp,metrics
"ola, just got sirenis night weather magnificent half day rain rest week sunshine.. wont bore details mentioned reviews comment great week spent finally arrived punta cana irregardless 3 hour flight delays jetsgo airlines montreal long bumpy ride 1 hour 1/2, lost half day, arrival just imagined welcomed drink register admired huge entrance hotel people sitting enjoying drink bars just lounging seats lobby, ponds flamingoes nice grounds clean pools kept grounds nice clean spacious rooms ocean great not white sand turquoise waters good variety food alcoholic beverages watered felt tipsy caribbean mixes pina colada coco loco..for scotch drinkers hand strong stuff little notes no facecloths bring, wake super early 6:30 want reserve covered hut..and got towels stolen day..and removed people savages comes getting covered place sun course plenty open lounge chairs available pools beach, hairdryer hair corse like hairdryers rooms not strong.. stores beach right hotel falling palm tree good place buy souvenirs certainly bargain price half..we did.. lobby..runs 6.00us 30 minutes expensive worth it..if kids let swim dolphins cost 70 child 15 minutes dolphins.. entertainment say certainly try best languages saw magic michael jackson wan na different night.. want try luck casino..dont expect small room tables handful slot machines, teenagers 16 activites included strectching beach spanish lessons dance lessons aqua gym pool games activites basketball volleyball list goes kids 12 16 game room fun place meet kids age develop interests impeccable staff really does extra mile nothing miles not directly beach resorts alhough buidlings beach view.. alot walking depending book room plan accordingly.. people dont like dont book here..i did not mind it.. lots say need know certainly email me.. thanks reading overall truly great place, great time,  ","{'text': 'ola, just got sirenis night weather magnificent half day rain rest week sunshine.. wont bore details mentioned reviews comment great week spent finally arrived punta cana irregardless 3 hour flight delays jetsgo airlines montreal long bumpy ride 1 hour 1/2, lost half day, arrival just imagined welcomed drink register admired huge entrance hotel people sitting enjoying drink bars just lounging seats lobby, ponds flamingoes nice grounds clean pools kept grounds nice clean spacious rooms ocean great not white sand turquoise waters good variety food alcoholic beverages watered felt tipsy caribbean mixes pina colada coco loco..for scotch drinkers hand strong stuff little notes no facecloths bring, wake super early 6:30 want reserve covered hut..and got towels stolen day..and removed people savages comes getting covered place sun course plenty open lounge chairs available pools beach, hairdryer hair corse like hairdryers rooms not strong.. stores beach right hotel falling palm tree good place buy souvenirs certainly bargain price half..we did.. lobby..runs 6.00us 30 minutes expensive worth it..if kids let swim dolphins cost 70 child 15 minutes dolphins.. entertainment say certainly try best languages saw magic michael jackson wan na different night.. want try luck casino..dont expect small room tables handful slot machines, teenagers 16 activites included strectching beach spanish lessons dance lessons aqua gym pool games activites basketball volleyball list goes kids 12 16 game room fun place meet kids age develop interests impeccable staff really does extra mile nothing miles not directly beach resorts alhough buidlings beach view.. alot walking depending book room plan accordingly.. people dont like dont book here..i did not mind it.. lots say need know certainly email me.. thanks reading overall truly great place, great time,  '}","[{'label': '4', 'score': 1.0}]",Argilla,,,False,,020553ad-e2eb-4e0d-9053-09a35c9aecdd,,Default,2022-12-06 14:02:26.924294,{'text_length': 1857}
"allergies just got cm wanted let severe allergies know flexible easy know eat not eat, people problems none know issues, chef willing help, patient language problem listen carefully speak slowly, daughter servere peanut allergy quite nervous going, got easy food, peanut butter breakfast lunch specific area, chinese dinner night nuts hispanola restaruant instead avoid, walnut bread meal did not eat breads just case lot desserts almonds, able soft ice cream dessert meal, not use nut oils cook managed far cross-contamination, just ask eat rooms nice clean grounds beautiful, not rains bring good book just case, nice children loved pepe animation director daily outfit surpirses kept laughing, thanks jossie reception did ensure stay enjoyable, dealing party not easy, brian girls wanted say goodbye ended saying goodbye brother kevin thinking great time montreal good luck cirque du soleil thanks daily water aerobics classes feel better eating, circus guys patient brother loved trapeze juggling lessons.all good trip,  ","{'text': 'allergies just got cm wanted let severe allergies know flexible easy know eat not eat, people problems none know issues, chef willing help, patient language problem listen carefully speak slowly, daughter servere peanut allergy quite nervous going, got easy food, peanut butter breakfast lunch specific area, chinese dinner night nuts hispanola restaruant instead avoid, walnut bread meal did not eat breads just case lot desserts almonds, able soft ice cream dessert meal, not use nut oils cook managed far cross-contamination, just ask eat rooms nice clean grounds beautiful, not rains bring good book just case, nice children loved pepe animation director daily outfit surpirses kept laughing, thanks jossie reception did ensure stay enjoyable, dealing party not easy, brian girls wanted say goodbye ended saying goodbye brother kevin thinking great time montreal good luck cirque du soleil thanks daily water aerobics classes feel better eating, circus guys patient brother loved trapeze juggling lessons.all good trip,  '}","[{'label': '4', 'score': 1.0}]",Argilla,,,False,,097e90d7-7b63-42b9-93a0-7a3b6aa8005a,,Default,2022-12-06 14:02:26.793650,{'text_length': 1025}
"loved, time carribean, long read, great time setbacks endure, yes hour wait check in.. big deal paradise, friendly staff language barrier difficult hey just fine, great food tried restaurants uniqueness, try speak spanish staff love mean mere hello rum cokes, contrary heard ate meat salads fine, got ta love bars eh, late night snacking pizza taco stand mangu know, far hotel goes great staff great food booze flowing flowing clean hot water clean towels u leave tip maids leave flowers fold towels swan sort animal, way michael jackson playing nights yeah check pretty solid, suggest signing couple tours outside resort, air canada rep set bunch tours bunch meeting bunch tours outline able choose ones like sign, there__Ç_é_ probably gon na guy mr. happy happy man calling u family good deal u yadda yadda, atv/dune buggy/ horseback rental, hey dune buggies think great not lets kill, umm not ghetto set-up ever.. machines pretty falling apart, guides machines wheel fell just started, stupid guys rolling quads getting stuck sand really cool cruz caribbean ocean dunebuggie kids running waving yelling good way country, note n't afraid guys semi-automatic machine guns protection really, intimidating wave smile big smile wave, dunebuggies little expensive worth bring spf 50 gets little warm, booked tour called tropical storm tour supposed romantic sunset lobster dinner.. small 20 person catamaran, real tropical storm mean forget sunset.. waves.. dark clouds pissing rain cold, no rum cheer, stopped diving fish body hits warm water u cheer right, not believe eyes tropical fish swimming, awesome staff.. bunch younger dominican guys girls.. dominican montreal, diving fish unreal, knew sky__Ç_é_ parted sun came dancing boat, arrived natural swimming hole water warm 4 feet deep miles, just sand star fish floating bar including staff indulged game volleyball drunken ball air, fun, buddy ended having flex guy staff great picture flexing shirts, end went great lobster dinner great little place. cant remember sooo good, jellyfish think friendly parrots shoulders point, got free bottle mumajuna liquid home pictures awesome, say yes tropical storm tour, signed swimming nerf sharks stingrays, great experience ts tour n't wait, boy wrong, packed boat like sardines huge boat tones ppl just packed, water try getting kicked head scraped ppls flippers, gong, packed small cages sharks rays, not fun time not suggest going marinarium tour, stay away, final trip outback safari, great time, best driver guide company, hose louis driver raphael guide, great way people live, saw coffee bean farm chocolate coffee able coffee beans, got schools hospital clinics lots little kids cute really poor, bring stuffed toys kids happy receive cool gift, drinking tour bus cruzing country jungle fruit trees animals, awesome time, got body boarding beaches awesome time, market beach awhile people really annoying trying sell stuff cheapie cheapie friend friend canadian ahh cheapie cheapie, try make downtown corner bar beers.. n't speak english does n't matter, cerveza por favor, sorry long hope enjoyed review/ little story, say great place travel great resort, oh yeah friday saturday got ta hit mangu disco bar.. packed great times, divertirse emborracharse,  ","{'text': ""loved, time carribean, long read, great time setbacks endure, yes hour wait check in.. big deal paradise, friendly staff language barrier difficult hey just fine, great food tried restaurants uniqueness, try speak spanish staff love mean mere hello rum cokes, contrary heard ate meat salads fine, got ta love bars eh, late night snacking pizza taco stand mangu know, far hotel goes great staff great food booze flowing flowing clean hot water clean towels u leave tip maids leave flowers fold towels swan sort animal, way michael jackson playing nights yeah check pretty solid, suggest signing couple tours outside resort, air canada rep set bunch tours bunch meeting bunch tours outline able choose ones like sign, there__Ç_é_ probably gon na guy mr. happy happy man calling u family good deal u yadda yadda, atv/dune buggy/ horseback rental, hey dune buggies think great not lets kill, umm not ghetto set-up ever.. machines pretty falling apart, guides machines wheel fell just started, stupid guys rolling quads getting stuck sand really cool cruz caribbean ocean dunebuggie kids running waving yelling good way country, note n't afraid guys semi-automatic machine guns protection really, intimidating wave smile big smile wave, dunebuggies little expensive worth bring spf 50 gets little warm, booked tour called tropical storm tour supposed romantic sunset lobster dinner.. small 20 person catamaran, real tropical storm mean forget sunset.. waves.. dark clouds pissing rain cold, no rum cheer, stopped diving fish body hits warm water u cheer right, not believe eyes tropical fish swimming, awesome staff.. bunch younger dominican guys girls.. dominican montreal, diving fish unreal, knew sky__Ç_é_ parted sun came dancing boat, arrived natural swimming hole water warm 4 feet deep miles, just sand star fish floating bar including staff indulged game volleyball drunken ball air, fun, buddy ended having flex guy staff great picture flexing shirts, end went great lobster dinner great little place. cant remember sooo good, jellyfish think friendly parrots shoulders point, got free bottle mumajuna liquid home pictures awesome, say yes tropical storm tour, signed swimming nerf sharks stingrays, great experience ts tour n't wait, boy wrong, packed boat like sardines huge boat tones ppl just packed, water try getting kicked head scraped ppls flippers, gong, packed small cages sharks rays, not fun time not suggest going marinarium tour, stay away, final trip outback safari, great time, best driver guide company, hose louis driver raphael guide, great way people live, saw coffee bean farm chocolate coffee able coffee beans, got schools hospital clinics lots little kids cute really poor, bring stuffed toys kids happy receive cool gift, drinking tour bus cruzing country jungle fruit trees animals, awesome time, got body boarding beaches awesome time, market beach awhile people really annoying trying sell stuff cheapie cheapie friend friend canadian ahh cheapie cheapie, try make downtown corner bar beers.. n't speak english does n't matter, cerveza por favor, sorry long hope enjoyed review/ little story, say great place travel great resort, oh yeah friday saturday got ta hit mangu disco bar.. packed great times, divertirse emborracharse,  ""}","[{'label': '4', 'score': 1.0}]",Argilla,,,False,,16b32f84-9192-4b2e-9ba8-8d14c2c50f53,,Default,2022-12-06 14:02:26.907373,{'text_length': 3262}
"great vacation just returned punta cana dominican, 2/20-2/27, live vermont flew montreal 2 hour ride house vt. pleasant leave cold weather experience 7 days sun 85 degree weather.there 2 rooms, wife daughter niece, 15. rooms comfortable, mini fridg filled everyday beer soda bottled water, 2 double beds quite comfortable, problem hair dryer, just n't wife used, pool beach awesome, restaurants choose lunch food great, absolutely no reason home hungry, laugh niece, travel way punta cana favorite food french fries, entertainment staff works hard trys everone happy, organized games like water polo soccer volleyball water aerobics, want sit watch ok, pool 7am chairs disappear, early person n't problem, bathroom facilities immaculate going bathroom cleaning lady little weird.we went shows night great, lost little casino fun, went restaurant, mexican favorite, make reservations right away, n't problem took care right away, playa del carman cancun aruba jamaica bermuda, stayed best places, compared favorably trip, ca n't wrong,  ","{'text': ""great vacation just returned punta cana dominican, 2/20-2/27, live vermont flew montreal 2 hour ride house vt. pleasant leave cold weather experience 7 days sun 85 degree weather.there 2 rooms, wife daughter niece, 15. rooms comfortable, mini fridg filled everyday beer soda bottled water, 2 double beds quite comfortable, problem hair dryer, just n't wife used, pool beach awesome, restaurants choose lunch food great, absolutely no reason home hungry, laugh niece, travel way punta cana favorite food french fries, entertainment staff works hard trys everone happy, organized games like water polo soccer volleyball water aerobics, want sit watch ok, pool 7am chairs disappear, early person n't problem, bathroom facilities immaculate going bathroom cleaning lady little weird.we went shows night great, lost little casino fun, went restaurant, mexican favorite, make reservations right away, n't problem took care right away, playa del carman cancun aruba jamaica bermuda, stayed best places, compared favorably trip, ca n't wrong,  ""}","[{'label': '4', 'score': 1.0}]",Argilla,,,False,,46911b89-59ae-4a04-831b-01752824cefc,,Default,2022-12-06 14:02:26.797912,{'text_length': 1036}
"fabulous dreams, loved incredible trip dreams punta cana, true dream site simply wonderful, buffet fantastic manifold know, restaurants exquisite refined service remarkable, shows various amusing incredible choreography, animator melkis excellent various functions, staff radiant delightful considerate, entertainment team lively transmits dynamism, dance skin, true delight eyes, lived week pure pleasure true lifelong dream br/ muchas gracias mucho gusto.mÄlanie tremblaymontreal canada march 31 april 7 2008,  ","{'text': 'fabulous dreams, loved incredible trip dreams punta cana, true dream site simply wonderful, buffet fantastic manifold know, restaurants exquisite refined service remarkable, shows various amusing incredible choreography, animator melkis excellent various functions, staff radiant delightful considerate, entertainment team lively transmits dynamism, dance skin, true delight eyes, lived week pure pleasure true lifelong dream br/ muchas gracias mucho gusto.m\x8f\x91Älanie tremblaymontreal canada march 31 april 7 2008,  '}","[{'label': '5', 'score': 1.0}]",Argilla,,,False,,4c5bdd62-fac1-426b-9ed4-d74a6e3d3b61,,Default,2022-12-06 14:02:26.972210,{'text_length': 515}
"hospitalized days know pay, went natura parc 7 day vacation 25 june 1st, total cost including airfare accommodation food taxes, 890pp montreal, got paid suppose.we ended going hospital medication ear infections, day supposed leave hospitalized days told not fly weekend, hospitalization colored view entire stay, hospital hospitalizes shows days, hard not think scam 360/night hospital room 250 consultation doctor plus medications 2300 nights days.on positive note ground beautiful pink flamingos geese peacock lots palm trees beautiful white sandy beach, horrible.the rooms small old, nothing works dirty, mini bar room bottle water beers half bottle coke, trying convince replentish impossible, arrived called desk ask bottle opener times answered phone, asked wanted spa said no wanted bottle opener, finally communicating successfully told no bottle opener guest brought, no offer send room service, later room bathroom wall elegant, attached inside minibar.the main problem attitude, staff unhappy overworked unwilling help, convinced manager desk way difficult, family tried reach times simply no answer desk, guest relations desk joke, poor woman no whatsoever assisting way, tipped site absolutely no difference, n't think going spa, massage massage therapist actually answered phone middle massage continued massaging hand, manicures pedicures unhygenic not mention ugly, book hair appointment wash cold water no blow dry kudos staff brightened stay anthony pool bar months did n't know miserable alberto scuba instructor amazing, attentive staff overtones sexual harassment definitely not comfortable place woman man.i traveled places think make fair effort account differences country relatively low expectations price honestly n't recommend place,  ","{'text': ""hospitalized days know pay, went natura parc 7 day vacation 25 june 1st, total cost including airfare accommodation food taxes, 890pp montreal, got paid suppose.we ended going hospital medication ear infections, day supposed leave hospitalized days told not fly weekend, hospitalization colored view entire stay, hospital hospitalizes shows days, hard not think scam 360/night hospital room 250 consultation doctor plus medications 2300 nights days.on positive note ground beautiful pink flamingos geese peacock lots palm trees beautiful white sandy beach, horrible.the rooms small old, nothing works dirty, mini bar room bottle water beers half bottle coke, trying convince replentish impossible, arrived called desk ask bottle opener times answered phone, asked wanted spa said no wanted bottle opener, finally communicating successfully told no bottle opener guest brought, no offer send room service, later room bathroom wall elegant, attached inside minibar.the main problem attitude, staff unhappy overworked unwilling help, convinced manager desk way difficult, family tried reach times simply no answer desk, guest relations desk joke, poor woman no whatsoever assisting way, tipped site absolutely no difference, n't think going spa, massage massage therapist actually answered phone middle massage continued massaging hand, manicures pedicures unhygenic not mention ugly, book hair appointment wash cold water no blow dry kudos staff brightened stay anthony pool bar months did n't know miserable alberto scuba instructor amazing, attentive staff overtones sexual harassment definitely not comfortable place woman man.i traveled places think make fair effort account differences country relatively low expectations price honestly n't recommend place,  ""}","[{'label': '1', 'score': 1.0}]",Argilla,,,False,,4fcdd369-cfd6-46cf-a53b-2f8cedac8093,,Default,2022-12-06 14:02:26.799820,{'text_length': 1762}
"experience remember, recently returned week stay majestic colonial punta cana resort, fun entire life, not food awesome service animation group especially world, punta cana times places world seen amazing animation, truly surpassed expectations, parents vacation 17 years age thought not interesting, animation place time life, animators willing entertain make stay extremely enjoyable, interact people ages children elderly, special thanks francisco honestly world awesome makes shows day fun, sandy extremely fun, funny talks microphone entertain works no matter old, jesus fantastic animator, makes dancing lessons funn, absolutely hilarious, blast, not tyson, wow aerobic sessions, makes intense fun time, absolutely incredible, previous names awesome animators, thank animation team, guys rock, day leave began burst tears did not want leave, stayed forever, chance hotel, guarantee make stay best, loved, no resort comes close, rate hotel 10 100000000000000000000000000000000000/10 amazing, p.s- shows incredible dancing, wow, montreal canada-,  ","{'text': 'experience remember, recently returned week stay majestic colonial punta cana resort, fun entire life, not food awesome service animation group especially world, punta cana times places world seen amazing animation, truly surpassed expectations, parents vacation 17 years age thought not interesting, animation place time life, animators willing entertain make stay extremely enjoyable, interact people ages children elderly, special thanks francisco honestly world awesome makes shows day fun, sandy extremely fun, funny talks microphone entertain works no matter old, jesus fantastic animator, makes dancing lessons funn, absolutely hilarious, blast, not tyson, wow aerobic sessions, makes intense fun time, absolutely incredible, previous names awesome animators, thank animation team, guys rock, day leave began burst tears did not want leave, stayed forever, chance hotel, guarantee make stay best, loved, no resort comes close, rate hotel 10 100000000000000000000000000000000000/10 amazing, p.s- shows incredible dancing, wow, montreal canada-,  '}","[{'label': '5', 'score': 1.0}]",Argilla,,,False,,53ed9587-04e1-422b-ab98-2e07ca76b7d8,,Default,2022-12-06 14:02:26.980450,{'text_length': 1052}
"wonderful great time paradisus, recent reviews accurate beauty surroundings, not imagine setting hotel, ocean beautiful watch waves make sure eyeglasses secured swept away.the resort wonderful pool pool bar lobby bar fun, eash nught 10:15 prior live msuic dancing, casino disco lobby area, resort excellent drinks including baileys port, favourite coco loco fresh coconuts cut trees morning, lunch dinner ordering wine sit restaurants bottles delivered silver ice buckets, choice various wines excellent, people visiting really stay fun detroit new jersey vancouver montreal especially lady n york spoke spanish delight staff.learning words like gracias just adds holiday, insect repellent needed, packed febreeze did not need room lovely clean no smells.we packed summer shirts ball glove hand lotios gave staff, brought small bills tips.before leaving read reviews downer, think vast majority people happy resort awe paradise not posting reviews, focussed negative suggest stop look wonderful surroundings majestic palm trees beautiful hibiscus flowers staff trying best count blessings,  ","{'text': 'wonderful great time paradisus, recent reviews accurate beauty surroundings, not imagine setting hotel, ocean beautiful watch waves make sure eyeglasses secured swept away.the resort wonderful pool pool bar lobby bar fun, eash nught 10:15 prior live msuic dancing, casino disco lobby area, resort excellent drinks including baileys port, favourite coco loco fresh coconuts cut trees morning, lunch dinner ordering wine sit restaurants bottles delivered silver ice buckets, choice various wines excellent, people visiting really stay fun detroit new jersey vancouver montreal especially lady n york spoke spanish delight staff.learning words like gracias just adds holiday, insect repellent needed, packed febreeze did not need room lovely clean no smells.we packed summer shirts ball glove hand lotios gave staff, brought small bills tips.before leaving read reviews downer, think vast majority people happy resort awe paradise not posting reviews, focussed negative suggest stop look wonderful surroundings majestic palm trees beautiful hibiscus flowers staff trying best count blessings,  '}","[{'label': '5', 'score': 1.0}]",Argilla,,,False,,55a7d113-2704-45d1-b91e-00bed27947e2,,Default,2022-12-06 14:02:26.789861,{'text_length': 1091}
"just facts okay problems stayed bp 21st 28th, try approach objective standpoint, check little crazy, lot bell-boys nice none spoke english, dark wanted make sure bags not misplaced trying straight directions little difficult managed just fine little patience, microphone bus way malfunctioning getting partial instructions rear bus, worked fine just little crazy.the rooms nice, 2nd floor did n't bug problems, maid wanda did excellent job day no complaints, remote control tv did not work, day took batteries placed dollar bills hoping new batteries remote, saw remote make sure point shower head best away glass wall mess floor after.front desk notch service people, explained use safe provided concise accurate directions hotel asked, pools diamond pool closed repair did n't really repairs, n't big deal plenty pools, did n't spend lot time high 90, not big deal nice ocean feet away, not sure happened 3rd day jumped pool pool bar quickly way rooms beach opened eyes underwater split second, did regret n't know alcohol chlorine eyes burned 20 minutes, stood beach showers long time flushing eyes pain stopped, got kids want talk not opening eyes there.the beach beach physically gorgeous, kept sand free debris no shells step water nice clear, n't know typical visit hardly waves, ideal travelling children little boring, enjoyed choppier water barely kick wash sand away feet standing ocean edge.the food drinks ca n't complain food specific tasted good drinks fair, ca n't identify specifically day developed severe case diariah, did not drink tap water, water restaurants assured safe ice cubes drinks, severe diariah affected 4 party severe not pepto long effect, mid week finally got fed doubled suggested dose stop, continued week got, constantly fighting stay hydrated beach lobby bar outings awkward.the entertainment going places entertainment probably deserve disappointed, opinion make vacation, saying entertainment typically poor effort appreciated.the staff people people, no different toronto ny punta cana, encountered staff incredible, specifically girls lobby bar did fantastic job single night, friendly enthusiastic, places staff not helpful, security guard asked quite randomly tip, asked responded quite clearly just tip, like said people people, n't worked it.pueblo principe entertainment square quite shops kiosks buy souveniers, n't prepared confrontation n't near kiosks, night sprinting square try make bathroom time nearly tackled salesman kiosk trying cheap coconut necklace trying tell sammy sosa carlos delgado wearing blue jays hat, n't appreciated, making bathroom pretty time sensitive.air conditioning simply resort wide select restaurants 3 days 2 nights, uncomfortable not desirable, complaining sunquest rep refunded 120 usd room cash immediately site, special thanks 2 guys montreal told complaint procedure, palapas kept separate beach reason, want close bar reserve towel early morning night, not supposed allowed doing, facing beach left plenty palapas left later day late risers quite walk closest bar want drink, neglected bring mug time forget, prepared, spend s giant mug lots cold drinks palapa, trams people movers prompt useful, no complaints.the construction construction going looked like new resort built right rooms, 9am screaching steel construction equipment earth movers start wake, not big deal just ready nice option try sleep later.i n't resort, better experiences quite honest n't waste opportunity new place going,  ","{'text': ""just facts okay problems stayed bp 21st 28th, try approach objective standpoint, check little crazy, lot bell-boys nice none spoke english, dark wanted make sure bags not misplaced trying straight directions little difficult managed just fine little patience, microphone bus way malfunctioning getting partial instructions rear bus, worked fine just little crazy.the rooms nice, 2nd floor did n't bug problems, maid wanda did excellent job day no complaints, remote control tv did not work, day took batteries placed dollar bills hoping new batteries remote, saw remote make sure point shower head best away glass wall mess floor after.front desk notch service people, explained use safe provided concise accurate directions hotel asked, pools diamond pool closed repair did n't really repairs, n't big deal plenty pools, did n't spend lot time high 90, not big deal nice ocean feet away, not sure happened 3rd day jumped pool pool bar quickly way rooms beach opened eyes underwater split second, did regret n't know alcohol chlorine eyes burned 20 minutes, stood beach showers long time flushing eyes pain stopped, got kids want talk not opening eyes there.the beach beach physically gorgeous, kept sand free debris no shells step water nice clear, n't know typical visit hardly waves, ideal travelling children little boring, enjoyed choppier water barely kick wash sand away feet standing ocean edge.the food drinks ca n't complain food specific tasted good drinks fair, ca n't identify specifically day developed severe case diariah, did not drink tap water, water restaurants assured safe ice cubes drinks, severe diariah affected 4 party severe not pepto long effect, mid week finally got fed doubled suggested dose stop, continued week got, constantly fighting stay hydrated beach lobby bar outings awkward.the entertainment going places entertainment probably deserve disappointed, opinion make vacation, saying entertainment typically poor effort appreciated.the staff people people, no different toronto ny punta cana, encountered staff incredible, specifically girls lobby bar did fantastic job single night, friendly enthusiastic, places staff not helpful, security guard asked quite randomly tip, asked responded quite clearly just tip, like said people people, n't worked it.pueblo principe entertainment square quite shops kiosks buy souveniers, n't prepared confrontation n't near kiosks, night sprinting square try make bathroom time nearly tackled salesman kiosk trying cheap coconut necklace trying tell sammy sosa carlos delgado wearing blue jays hat, n't appreciated, making bathroom pretty time sensitive.air conditioning simply resort wide select restaurants 3 days 2 nights, uncomfortable not desirable, complaining sunquest rep refunded 120 usd room cash immediately site, special thanks 2 guys montreal told complaint procedure, palapas kept separate beach reason, want close bar reserve towel early morning night, not supposed allowed doing, facing beach left plenty palapas left later day late risers quite walk closest bar want drink, neglected bring mug time forget, prepared, spend s giant mug lots cold drinks palapa, trams people movers prompt useful, no complaints.the construction construction going looked like new resort built right rooms, 9am screaching steel construction equipment earth movers start wake, not big deal just ready nice option try sleep later.i n't resort, better experiences quite honest n't waste opportunity new place going,  ""}","[{'label': '2', 'score': 1.0}]",Argilla,,,False,,6fb3bbb4-26a4-49f9-9b9d-57bbcba5bc36,,Default,2022-12-06 14:02:26.966103,{'text_length': 3484}
"loved stayed majestic feb 21th feb 28th, booked trip majestic rated 1 resort punta cana, people started complaining couple things honest just leaving didnt really know expect anymore, tip lower expectations, know 5 star resort book 5 star resort expected treated like king/like special guest got remember nothing perfect.service service desk perfect, didnt long check in/check, ask room not block 4 building resort block 4, ask nicely probably block, heard guy ask desk guy room dont want block 4, guy didnt say hola/hi/gracias/thank, nice people nice, friendly cool people friendly cool you.rooms nice room, thing didnt like room fact bath middle room didnt privacy, mom tell leave room bath, didnt mind leaving hungry went buffet, shower not middle room/no privacy problems food food ok. good vegetables deserts chicken, problems steak, overall cant complain.. pleased food, staff restaurants amazing.beach/pool nice pool nice beach, little bit windy appreciated wind 100 degrees/40 celcius outside.there lot chairs beach pool dont wake 7 morning beach/pool make sure chair.bars nice bars friendly barmans, im not big drinker liked pina colada/smirnoff/beer/rhum coke had.people met lot people majestic, nice.there people world, know people toronto new york boston st. louis quebec city montreal california florida france spain russia, canadians americans really nice, europeans ok people spain really think resort theirs didnt respect travelers/customers, noticed french canadians making lot efforts speak english/spanish people.. just bad french people france didnt bother trying say english/spanish word, nice conversation football texas longhorns fan quebec city canada, wish asked email stay touch.entertainment relax enjoy sun didnt participate entertainment activities, travelers enjoy entertainment though.if question resort feel free send message, gladly answer question, fc_seminoles hotmail.com,  ","{'text': 'loved stayed majestic feb 21th feb 28th, booked trip majestic rated 1 resort punta cana, people started complaining couple things honest just leaving didnt really know expect anymore, tip lower expectations, know 5 star resort book 5 star resort expected treated like king/like special guest got remember nothing perfect.service service desk perfect, didnt long check in/check, ask room not block 4 building resort block 4, ask nicely probably block, heard guy ask desk guy room dont want block 4, guy didnt say hola/hi/gracias/thank, nice people nice, friendly cool people friendly cool you.rooms nice room, thing didnt like room fact bath middle room didnt privacy, mom tell leave room bath, didnt mind leaving hungry went buffet, shower not middle room/no privacy problems food food ok. good vegetables deserts chicken, problems steak, overall cant complain.. pleased food, staff restaurants amazing.beach/pool nice pool nice beach, little bit windy appreciated wind 100 degrees/40 celcius outside.there lot chairs beach pool dont wake 7 morning beach/pool make sure chair.bars nice bars friendly barmans, im not big drinker liked pina colada/smirnoff/beer/rhum coke had.people met lot people majestic, nice.there people world, know people toronto new york boston st. louis quebec city montreal california florida france spain russia, canadians americans really nice, europeans ok people spain really think resort theirs didnt respect travelers/customers, noticed french canadians making lot efforts speak english/spanish people.. just bad french people france didnt bother trying say english/spanish word, nice conversation football texas longhorns fan quebec city canada, wish asked email stay touch.entertainment relax enjoy sun didnt participate entertainment activities, travelers enjoy entertainment though.if question resort feel free send message, gladly answer question, fc_seminoles hotmail.com,  '}","[{'label': '5', 'score': 1.0}]",Argilla,,,False,,72a737e3-238e-4c26-93d8-5cd8f7c6fb9d,,Default,2022-12-06 14:02:26.979900,{'text_length': 1910}
